step,learning_rate,discount_factor,exploration,exploration_decay,min_exploration
0,0.1,0.99,3.538527688343134e-44,0.999,0
state,value
00R00000GW,2.0719834518003437
R00000GW,2.853307241667692
G0R0000W,18.687748327573868
SS0R0000W,-26.714274938363452
SSS0R0000W,-20.431923003667244
S00R0000W,-18.718536329158155
SSS000G00W,-20.57600921851448
SSR000W,-21.095847076370482
00GR0W,16.54370974857241
00S0W,-3.87412249292818
S00S0W,-22.84146981898669
0S0W,-9.916673811237127
GG00W,29.957879085683086
00GG000W,26.874321277717357
0000GG0W,24.69813945527224
000GG0W,25.73594743220975
00GG0W,26.987908055076872
0GG0W,28.419364734397167
GG0W,29.43116573000199
0S0000W,-3.5072443431819087
0000GRW,13.716033046459154
000GRW,14.42785347611018
GRW,18.144300528529882
S00GRW,-2.3506954564032325
SSGW,-19.048401903974774
SSR00W,-20.77887129909003
GR0000000W,15.024391154085034
0GG00W,28.109178215621476
SS000RW,-17.985533464386
SS0000RW,-18.22717907282082
SS00R00G0W,-18.57760122465329
000S00000W,-1.0413246342518259
0SS000G00W,-10.910826737244463
0SSW,-11.731598617344472
S0SSW,-29.06382202639911
SS0SSW,-27.37203160368969
SSS0S0W,-28.76154808586456
SSS00RW,-19.28699103406956
G000G0000W,27.15088525754502
SR00000GW,-10.077099677876074
00R00G0W,4.5173148268796535
0R00G0W,4.516476550154608
R00G0W,4.5868812048021965
SS00R00W,-21.0493300258873
G0000R000W,17.25825219365327
SG0000R000W,0
00RG00000W,6.544799536681595
0RG00000W,7.5965080797561555
G0000000GW,23.77279899965987
0R00GG00W,0.5572804865759801
R00GG00W,10.074385431357406
SR00GG00W,0
S00R000G00W,0
SS0G00W,-18.868872970731967
SSS0G00W,-19.32906407793126
SSSS0G0000W,0
0G00G0W,26.25148152143966
G00G0W,27.48118099794873
0G0G0000W,27.756239130970396
SSRW,-27.29323054257181
0G00R0000W,16.604517235760028
S000R0000W,-18.668820261422624
SSS000RW,-20.536248828592203
0G0R0W,16.942382016549693
SS00000GW,-20.26431615384472
0RG000000W,8.852749901875196
00S000000W,-1.533619144515041
S00G00RW,-1.5740397989584
0S0000RW,-8.564495580720207
S00000R0GW,-9.771808542408566
000G00G00W,24.03677661169876
00G00G00W,24.774097172107112
0G00G00W,26.033993459137204
G00G00W,27.374853525041686
000000R0GW,4.2011901957685485
S0R0GW,-6.074281946855793
SSS0RW,-20.252193141662502
00R0G0000W,6.269713718863371
0SRW,-3.967583848233094
SSSSSW,-35.46420628943195
SSSSSS0W,-39.03347702819872
000G0S0W,14.95755530140587
00G000R00W,16.33126825746726
0G000R00W,17.418626957004275
000G00GW,23.705160145769756
00G00GW,25.156715241412183
SSSSS00000W,0
000R000G0W,3.0932895602439854
0R000G0W,3.9558915828767356
R000G0W,4.6635024289227545
SR000G0W,-9.919002368387849
00S0000W,-1.2397821411228087
00SW,-4.762061106129002
SSSSSSW,-39.457144140451355
0G00000R0W,17.12142091752407
G00000R0W,18.005421810800694
000000G0RW,12.168733663827137
S0000G0G0W,1.6227360295666868
SSG000000W,-20.254852651894037
S000G00GW,4.215167463571236
SSG00000W,-18.03797883670687
S0S0000000W,0
SS00R0000W,-21.261276173161672
SSS00R00W,-25.491522702522136
