step,learning_rate,discount_factor,exploration_rate,exploration_decay,min_exploration,vision_size
0,0.1,0.9,0.01,0.99,0.01,5
state,value
0SRG0,0
R000G,11.568715776286085
00SSS,43.00723851862524
S0RG0,0
SS0RG,0
0SS0R,2.483322922809744
00G0R,3.1976437891590295
S0S0G,-2.9079294605664034
R0G0W,0
00S0R,-0.1
G0G0W,3.0875515944464307
S00SS,-3.9256718409775786
00RSS,0
RS000,-2.7606742883889104
00RGW,0
S00RG,0
0RGW,0
R0SS0,0
0S00R,6.437320052231214
RSS00,-1.1116351434938847
GS000,4.508228319449378
GSS0W,0
0S0S0,2.259188871223542
00SSR,0
0SR00,8.946571959047198
SRS00,0
SSRS0,0
00SR0,3.440927474267637
SSSSG,-3.54
0S0SS,9.789270827158198
SRSS0,0
0GS00,0
00S0S,6.364560007761056
000GS,2.7853303337228854
00G0S,23.20012233118711
G000S,58.67107396418148
0G00S,26.62112566434586
SSSRW,0
00SSG,0
0SS0G,0.7756459866978954
00GRW,-0.1
G00S0,0
R00SS,2.8297185574518595
G00SS,0
S0GW,0
SSSSR,0
RS00S,0
00RSW,-0.191
S0SSW,0
G0SS0,1.543025369626534
SG0SS,0
SSG0S,0
0S00S,16.43973439818504
R000S,7.562085969575973
0SS0S,12.130060157890291
000RS,8.465107384769697
0RSW,-0.1
RSW,-1.5087899783999204
R0S00,3.5968580307674074
000SR,3.892007161288457
G000R,4.532250356116701
GS0S0,0
R00G0,6.474086644490379
RS0S0,0
S0S0S,0
SSSRS,0
SS0SG,0
00RS0,1.3386798067753836
R00S0,2.7393462946088185
00SG0,7.579889801907708
0G0SS,7.728912940079416
G0RW,2.1982568719290536
SG0RW,0
SSG0R,0
0SSG0,0
SG00R,0
S00SR,0
0G0S0,7.017866611175181
G0S0W,0
SG0S0,0
00GS0,0
S00GS,-1.4067364922583705
S0S0R,0
0SGGW,0
S0SGG,0
S00SG,0
S0G0S,0
G0S00,4.744091532321201
RS0W,0
SRSGW,0
RSSS0,0
RSSW,0
SRSSW,0
G0SSS,1.7136534549220022
G0G0R,0
0G0R0,6.718840531243796
S0R0G,0
00GSS,-0.1
SG00G,0
0G0GW,1.3754120557660845
GRW,7.43869479911454
GSSS0,7.188376068346983
R00SW,0
SR00S,0
SS0GS,0
0S0SW,0
S0G0R,0
SG0R0,0
R0SSS,0
0GG0W,0.5202617883964742
00SGG,0
SGG0W,0
SS0SR,0
0GSSS,0
S0GSS,0
0SR0W,0
S0SR0,0
RGW,0
0S0RW,0
000SG,18.832846341479772
G0S0G,0
SG00S,0
GSSSG,0
SGRW,0.9218022878605391
SGSS0,0
0R0S0,0
R0S0W,0
SR0S0,0
G0G0S,4.5910228971014275
0R00S,-0.1
S0R0S,0
00R0S,0
SRSW,0
SSRSW,0
SSR0S,0
GR00S,0
0RGGW,0
SGGW,0
SSGGW,0
SSSGG,0
0RSSS,0
S0RSS,0
SS0RS,-3.0
S0RSW,0
SR0SS,0
0RSS0,0
GS0R0,0
00GRS,-0.1
G0R00,0
SRS0W,0
0RS0W,0
S0RS0,0
GS0W,0
R00GS,0
SR00G,0
RSSSW,0
RSSG0,0
G0SSW,0
00SRS,0
RSGS0,0
S0GS0,0
S0SSG,0
00GGS,0
RSSSS,4.455286003379129
SGSSS,-1.0717469652653175
SSGSS,0
GGSSS,0
RS0SS,0
SRS0S,0
R00GG,0
0SR0G,0
SSR0G,0
0RSSW,0
0RS0S,0
G00SW,0
0SSR0,0
SGR00,0
0G0RW,0
0S0SR,0
GS00W,0
0SSSG,-0.37000000000000005
0S0SG,0
0GS0S,0.19751708653894948
G0GW,0
SG0GW,0
SSG0G,0
GR0W,6.891931237185729
SGR0W,0
SSGR0,0
SSSGR,0
GS00R,0
SGS00,0
SSGS0,0
G0S0R,0
GSSSS,6.74519243219488
0GS0W,0
0G0SR,0
SSSGS,-3.0
0SRW,5.648826747325723
R0S0S,0
S00RS,0
SG0G0,0
0GS0R,0
SGSW,0
GR00W,0
RS0SW,0
S0GRW,0
SS0GR,0
0SG0G,0
0S0GR,0
0R0SW,0
0R0SS,0
R0SW,0
